feature,coefficient
m_wwbb,-3.20736329288629
m_wbb,1.783588333244163
m_bb,-1.160687865494175
jet 1 pt,0.7736407571313834
m_jjj,0.7192741967681844
m_lv,0.6833043582109454
m_jlv,0.4999846832843202
missing energy magnitude,-0.40859333074717896
lepton pT,-0.3209195812542643
jet 4 pt,0.18899352424639848
jet 2 pt,0.18606875943922097
m_jj,-0.16173758726438514
jet 3 pt,0.14415714059334628
jet 3 b-tag,-0.06687716094916764
jet 2 b-tag,-0.058449075157740754
jet 4 b-tag,-0.05333425297642883
jet 1 b-tag,0.028687660289920397
lepton phi,0.0019305809291762968
jet 3 eta,-0.001006113837152896
jet 4 eta,-0.0009968257068737113
jet 2 phi,-0.0009522246257679474
missing energy phi,-0.0008410863983348069
jet 1 phi,0.0007633883465914792
jet 4 phi,0.0006309543263775058
jet 2 eta,-0.0005633924205865778
jet 1 eta,0.0003104095829691117
lepton eta,-0.0002756278043412331
jet 3 phi,-0.00025889801885432714
