feature,importance
m_wwbb,0.003956000000000038
m_bb,0.0035040000000000292
lepton pT,0.001884000000000019
m_jlv,0.0011680000000000358
missing energy magnitude,0.0011520000000000419
lepton eta,0.0009360000000000257
m_jjj,0.0007680000000000354
jet 3 eta,0.0006680000000000464
jet 1 b-tag,0.0006480000000000264
jet 3 pt,0.0006440000000000224
m_lv,0.0006200000000000205
jet 2 eta,0.0005840000000000289
jet 3 b-tag,0.00048800000000002173
jet 4 eta,0.0004360000000000142
m_jj,0.00028800000000004375
jet 2 b-tag,0.00022800000000005037
jet 3 phi,4.4000000000044004e-05
jet 2 phi,2.0000000000020002e-05
lepton phi,1.2000000000034205e-05
missing energy phi,-4.000000000004e-06
jet 4 phi,-1.9999999999997796e-05
jet 1 phi,-5.599999999994498e-05
jet 1 eta,-0.00016799999999996817
jet 4 b-tag,-0.00032399999999996874
jet 4 pt,-0.0008119999999999683
jet 1 pt,-0.0009559999999999569
jet 2 pt,-0.0010119999999999908
m_wbb,-0.0011119999999999574
